epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3218.99,0.64907,0.40049,0.99255,0.96361,0.94908,0.98991,0.86714,0.61341,0.353,0.93429,0.000759318,0.000759318,0.000759318
57,3272.54,0.64647,0.39021,0.98414,0.95887,0.96558,0.98991,0.87222,0.58661,0.31898,0.92139,0.000742815,0.000742815,0.000742815
58,3327.14,0.64378,0.39185,0.98927,0.9639,0.96206,0.98961,0.86027,0.60294,0.32661,0.92873,0.000726312,0.000726312,0.000726312
59,3383.12,0.65032,0.38905,0.99352,0.96888,0.94174,0.98756,0.85221,0.61573,0.36039,0.94091,0.000709809,0.000709809,0.000709809
60,3437.73,0.63081,0.3932,0.98145,0.98213,0.95309,0.98905,0.86456,0.60285,0.32812,0.92679,0.000693305,0.000693305,0.000693305
61,3499.56,0.64635,0.39027,0.99509,0.96725,0.97728,0.99144,0.85929,0.60498,0.31876,0.92346,0.000676802,0.000676802,0.000676802
62,3551.92,0.6239,0.37208,0.98658,0.95721,0.96651,0.99079,0.87112,0.59912,0.32164,0.92508,0.000660299,0.000660299,0.000660299
63,3604.19,0.63779,0.37603,0.98911,0.96406,0.96168,0.99049,0.86336,0.59943,0.3249,0.9165,0.000643795,0.000643795,0.000643795
64,3658.67,0.6381,0.37463,0.98366,0.94901,0.97593,0.99165,0.87172,0.58319,0.31755,0.92243,0.000627292,0.000627292,0.000627292
65,3710.63,0.63015,0.37846,0.9846,0.94426,0.96775,0.99181,0.87034,0.59931,0.32893,0.9221,0.000610789,0.000610789,0.000610789
66,3762.23,0.61204,0.35893,0.97107,0.95045,0.97593,0.99146,0.87144,0.58703,0.30552,0.91549,0.000594286,0.000594286,0.000594286
67,3815.09,0.61514,0.37167,0.97559,0.94922,0.97121,0.99111,0.87027,0.59656,0.31504,0.92144,0.000577782,0.000577782,0.000577782
68,3872.13,0.61473,0.37061,0.97914,0.95821,0.97801,0.99046,0.87912,0.58654,0.30011,0.91887,0.000561279,0.000561279,0.000561279
69,3930.81,0.6169,0.36861,0.98086,0.9557,0.96535,0.99048,0.87325,0.5908,0.30488,0.91464,0.000544776,0.000544776,0.000544776
70,3983.57,0.61389,0.36441,0.98037,0.95686,0.97742,0.99073,0.87164,0.59267,0.31772,0.92102,0.000528272,0.000528272,0.000528272
71,4042.87,0.60276,0.36495,0.97484,0.95874,0.94894,0.99022,0.86511,0.58163,0.32576,0.91774,0.000511769,0.000511769,0.000511769
72,4095.91,0.59643,0.35494,0.97391,0.96062,0.96856,0.99142,0.8694,0.59669,0.30401,0.92524,0.000495266,0.000495266,0.000495266
73,4149.16,0.59206,0.34788,0.96891,0.94644,0.9833,0.9918,0.87251,0.59229,0.3022,0.91676,0.000478762,0.000478762,0.000478762
74,4200.86,0.60788,0.35763,0.96817,0.963,0.96841,0.99188,0.88119,0.58051,0.29399,0.91217,0.000462259,0.000462259,0.000462259
75,4252.92,0.59159,0.33938,0.96845,0.96678,0.96728,0.99168,0.8808,0.57783,0.30265,0.90586,0.000445756,0.000445756,0.000445756
76,4304.79,0.58714,0.34265,0.96611,0.98441,0.95248,0.99176,0.87705,0.59059,0.30114,0.91851,0.000429253,0.000429253,0.000429253
77,4356.18,0.58962,0.33728,0.96855,0.97165,0.96333,0.99117,0.8728,0.59866,0.31318,0.92507,0.000412749,0.000412749,0.000412749
78,4407.53,0.59421,0.34933,0.97385,0.96458,0.97295,0.99131,0.87771,0.57118,0.29348,0.91041,0.000396246,0.000396246,0.000396246
79,4459.7,0.58811,0.33397,0.96982,0.98197,0.95985,0.99237,0.88387,0.57453,0.28747,0.90812,0.000379743,0.000379743,0.000379743
80,4511.45,0.58272,0.3287,0.9644,0.9719,0.96675,0.99291,0.88283,0.56547,0.28343,0.90675,0.000363239,0.000363239,0.000363239
81,4563.97,0.58682,0.3429,0.9694,0.96294,0.97343,0.99253,0.87562,0.5843,0.28785,0.91016,0.000346736,0.000346736,0.000346736
82,4616.02,0.58835,0.34093,0.96567,0.97478,0.96653,0.99167,0.88311,0.57322,0.28186,0.90837,0.000330233,0.000330233,0.000330233
83,4670.71,0.57374,0.33539,0.96231,0.97712,0.96807,0.99253,0.8801,0.57452,0.28016,0.91303,0.000313729,0.000313729,0.000313729
84,4724.13,0.57882,0.32697,0.95862,0.97567,0.97893,0.99327,0.88604,0.57075,0.2788,0.90522,0.000297226,0.000297226,0.000297226
85,4776.94,0.57677,0.32634,0.96541,0.98011,0.97099,0.99313,0.8852,0.57336,0.27082,0.90619,0.000280723,0.000280723,0.000280723
86,4829.1,0.56134,0.31657,0.9573,0.97863,0.97295,0.99305,0.87811,0.57079,0.27597,0.90892,0.00026422,0.00026422,0.00026422
87,4880.41,0.5584,0.32098,0.95252,0.97575,0.97295,0.99336,0.88626,0.57158,0.27319,0.90738,0.000247716,0.000247716,0.000247716
