id,class_id,confidence,detection_date,detection_hour,detection_minute,detection_second,detection_microsecond,duration,location,status,timestamp_date,timestamp_hour,timestamp_minute,timestamp_second,timestamp_microsecond
-OJZNO-UgezQAiUguB6d,0,0.7054787278175354,2025-02-20,12,22,9,739839,0.022227,Área de monitoreo 1,pending,2025-02-20,12,22,9,739858
-OJZN_L19hKKsat9D-th,0,0.733404278755188,2025-02-20,12,23,0,312701,0.033078,Área de monitoreo 1,pending,2025-02-20,12,23,0,312720
-OJZNnSWUfbiKhVqJhmO,0,0.7800116539001465,2025-02-20,12,23,58,124183,0.052279,Área de monitoreo 1,pending,2025-02-20,12,23,58,124231
-OJZO-5ycEMoj4-Ye6eK,0,0.795198917388916,2025-02-20,12,24,49,934263,0.095023,Área de monitoreo 1,pending,2025-02-20,12,24,49,934326
-OJZOMdxiuvt_a7ErweK,0,0.7272630929946899,2025-02-20,12,26,26,177797,0.046222,Área de monitoreo 1,pending,2025-02-20,12,26,26,177822
-OJZOZZnEAH8PFmmMgqf,0,0.7653757929801941,2025-02-20,12,27,19,306376,0.028958,Área de monitoreo 1,pending,2025-02-20,12,27,19,306411
-OJZOlEPzdzsf0MXFOSE,0,0.7908602952957153,2025-02-20,12,28,11,183339,0.03477,Área de monitoreo 1,pending,2025-02-20,12,28,11,183370
-OJZOyhizUGiibnFPfHq,0,0.7531378865242004,2025-02-20,12,29,6,354242,0.049286,Área de monitoreo 1,pending,2025-02-20,12,29,6,354271
-OJZPATLMPsnMJP05YiJ,0,0.7322657704353333,2025-02-20,12,29,58,638423,0.026432,Área de monitoreo 1,pending,2025-02-20,12,29,58,638443
-OJZPVLBbF9YahD2xLBp,0,0.7145724892616272,2025-02-20,12,31,23,692770,0.023037,Área de monitoreo 1,pending,2025-02-20,12,31,23,692786
-OJZPhIF2FecQuPKR7Cv,0,0.703596293926239,2025-02-20,12,32,17,194741,0.031093,Área de monitoreo 1,pending,2025-02-20,12,32,17,194755
-OJZPuNrnY41csvnqmnK,0,0.7035157680511475,2025-02-20,12,33,10,793845,0.02833,Área de monitoreo 1,pending,2025-02-20,12,33,10,793872
-OJZQ6zp6IFrKZFekDeZ,0,0.7044458389282227,2025-02-20,12,34,6,516259,0.036275,Área de monitoreo 1,pending,2025-02-20,12,34,6,516280
-OJZQUxQiPvW6Igwa4LH,0,0.8385351300239563,2025-02-20,12,35,44,431308,0.043679,Área de monitoreo 1,pending,2025-02-20,12,35,44,431340
-OJZQg_14a7t1EccwomM,0,0.7122801542282104,2025-02-20,12,36,36,373986,0.042191,Área de monitoreo 1,pending,2025-02-20,12,36,36,374006
-OJZR0G2tKx2BNb5SwRG,0,0.7203615307807922,2025-02-20,12,38,0,117404,0.052718,Área de monitoreo 1,pending,2025-02-20,12,38,0,117432
-OJZRHISjvm93KuKwuLB,0,0.7994288206100464,2025-02-20,12,39,10,882159,0.021824,Área de monitoreo 1,pending,2025-02-20,12,39,10,882189
-OJZRaDu87bIr7T0oVuq,0,0.7467979192733765,2025-02-20,12,40,31,610052,0.051429,Área de monitoreo 1,pending,2025-02-20,12,40,31,610075
