id,title,body,detection_date,detection_time,status,timestamp_date,timestamp_time
-OJZIvWo_UAWMN4GQkav,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.70,2025-02-20,12:02:40.314318,new,2025-02-20,12:02:40.314339
-OJZJ6ockRgJpdWqNVc7,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.77,2025-02-20,12:03:30.655462,new,2025-02-20,12:03:30.655483
-OJZJJ6fGplj9-6hH83R,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.72,2025-02-20,12:04:21.000976,new,2025-02-20,12:04:21.000987
-OJZJXMRcVXOk7w9s98T,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.71,2025-02-20,12:05:19.386882,new,2025-02-20,12:05:19.386894
-OJZJidan5SRAPeixfET,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.81,2025-02-20,12:06:09.703181,new,2025-02-20,12:06:09.703193
-OJZJv-4TBvfFzxBIpLt,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.77,2025-02-20,12:07:00.292590,new,2025-02-20,12:07:00.292603
-OJZK6KC44Jm3ve-ehUy,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.71,2025-02-20,12:07:50.788398,new,2025-02-20,12:07:50.788411
-OJZKIkD3aWwpdwixEBA,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.74,2025-02-20,12:08:41.669488,new,2025-02-20,12:08:41.669499
-OJZKVDAujFZ40wPlFcf,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.74,2025-02-20,12:09:32.753210,new,2025-02-20,12:09:32.753222
-OJZKgolJycBdiMmcHVS,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.70,2025-02-20,12:10:24.354327,new,2025-02-20,12:10:24.354382
-OJZKtJl2W87j0YsxFHB,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.73,2025-02-20,12:11:15.571904,new,2025-02-20,12:11:15.571921
-OJZL4fYWNuE0NcOgCI5,CAIDA DETECTADA,Se ha detectado un posible accidente con confianza: 0.70,2025-02-20,12:12:06.174189,new,2025-02-20,12:12:06.174203
